# The data is aranged as : alpha, ground, dark, bright, biexc, coherence
 (0.0000e+00+0.0000e+00j), (3.4407e-01+0.0000e+00j), (3.2708e-01+0.0000e+00j), (2.0507e-01+0.0000e+00j), (1.2378e-01+0.0000e+00j), (7.1763e-16+1.8418e-16j)
 (5.2632e+00+0.0000e+00j), (3.4464e-01+0.0000e+00j), (3.2653e-01+0.0000e+00j), (2.0485e-01+0.0000e+00j), (1.2398e-01+0.0000e+00j), (9.9441e-06+-7.9876e-05j)
 (1.0526e+01+0.0000e+00j), (3.4606e-01+0.0000e+00j), (3.2513e-01+0.0000e+00j), (2.0433e-01+0.0000e+00j), (1.2448e-01+0.0000e+00j), (1.5021e-05+-1.5611e-04j)
 (1.5789e+01+0.0000e+00j), (3.4825e-01+0.0000e+00j), (3.2298e-01+0.0000e+00j), (2.0353e-01+0.0000e+00j), (1.2524e-01+0.0000e+00j), (-1.1215e-05+2.2562e-04j)
 (2.1053e+01+0.0000e+00j), (3.5106e-01+0.0000e+00j), (3.2023e-01+0.0000e+00j), (2.0248e-01+0.0000e+00j), (1.2623e-01+0.0000e+00j), (-4.0499e-06+-2.8622e-04j)
 (2.6316e+01+0.0000e+00j), (3.5432e-01+0.0000e+00j), (3.1707e-01+0.0000e+00j), (2.0124e-01+0.0000e+00j), (1.2737e-01+0.0000e+00j), (3.1699e-05+3.3679e-04j)
 (3.1579e+01+0.0000e+00j), (3.5788e-01+0.0000e+00j), (3.1365e-01+0.0000e+00j), (1.9986e-01+0.0000e+00j), (1.2862e-01+0.0000e+00j), (-7.1160e-05+-3.7718e-04j)
 (3.6842e+01+0.0000e+00j), (3.6158e-01+0.0000e+00j), (3.1013e-01+0.0000e+00j), (1.9836e-01+0.0000e+00j), (1.2993e-01+0.0000e+00j), (1.2076e-04+4.0802e-04j)
 (4.2105e+01+0.0000e+00j), (3.6531e-01+0.0000e+00j), (3.0663e-01+0.0000e+00j), (1.9681e-01+0.0000e+00j), (1.3125e-01+0.0000e+00j), (-1.7821e-04+-4.3046e-04j)
 (4.7368e+01+0.0000e+00j), (3.6897e-01+0.0000e+00j), (3.0325e-01+0.0000e+00j), (1.9523e-01+0.0000e+00j), (1.3255e-01+0.0000e+00j), (-2.4101e-04+-4.4589e-04j)
 (5.2632e+01+0.0000e+00j), (3.7249e-01+0.0000e+00j), (3.0005e-01+0.0000e+00j), (1.9365e-01+0.0000e+00j), (1.3381e-01+0.0000e+00j), (3.0683e-04+4.5576e-04j)
 (5.7895e+01+0.0000e+00j), (3.7583e-01+0.0000e+00j), (2.9705e-01+0.0000e+00j), (1.9211e-01+0.0000e+00j), (1.3501e-01+0.0000e+00j), (3.7366e-04+4.6140e-04j)
 (6.3158e+01+0.0000e+00j), (3.7896e-01+0.0000e+00j), (2.9427e-01+0.0000e+00j), (1.9063e-01+0.0000e+00j), (1.3614e-01+0.0000e+00j), (-4.3989e-04+-4.6399e-04j)
 (6.8421e+01+0.0000e+00j), (3.8186e-01+0.0000e+00j), (2.9172e-01+0.0000e+00j), (1.8922e-01+0.0000e+00j), (1.3720e-01+0.0000e+00j), (5.0434e-04+4.6448e-04j)
 (7.3684e+01+0.0000e+00j), (3.8452e-01+0.0000e+00j), (2.8937e-01+0.0000e+00j), (1.8792e-01+0.0000e+00j), (1.3819e-01+0.0000e+00j), (5.6622e-04+4.6362e-04j)
 (7.8947e+01+0.0000e+00j), (3.8696e-01+0.0000e+00j), (2.8722e-01+0.0000e+00j), (1.8672e-01+0.0000e+00j), (1.3910e-01+0.0000e+00j), (-6.2504e-04+-4.6196e-04j)
 (8.4211e+01+0.0000e+00j), (3.8917e-01+0.0000e+00j), (2.8524e-01+0.0000e+00j), (1.8564e-01+0.0000e+00j), (1.3994e-01+0.0000e+00j), (-6.8053e-04+-4.5990e-04j)
 (8.9474e+01+0.0000e+00j), (3.9117e-01+0.0000e+00j), (2.8342e-01+0.0000e+00j), (1.8471e-01+0.0000e+00j), (1.4071e-01+0.0000e+00j), (-7.3261e-04+-4.5767e-04j)
 (9.4737e+01+0.0000e+00j), (3.9295e-01+0.0000e+00j), (2.8172e-01+0.0000e+00j), (1.8392e-01+0.0000e+00j), (1.4141e-01+0.0000e+00j), (-7.8130e-04+-4.5540e-04j)
 (1.0000e+02+0.0000e+00j), (3.9454e-01+0.0000e+00j), (2.8013e-01+0.0000e+00j), (1.8328e-01+0.0000e+00j), (1.4205e-01+0.0000e+00j), (-8.2666e-04+-4.5316e-04j)
