# The data is aranged as : alpha, ground, dark, bright, biexc, coherence
 (0.0000e+00+0.0000e+00j), (3.4407e-01+0.0000e+00j), (3.2709e-01+0.0000e+00j), (2.0507e-01+0.0000e+00j), (1.2378e-01+0.0000e+00j), (1.6653e-16+-2.9295e-18j)
 (5.2632e+00+0.0000e+00j), (3.4463e-01+0.0000e+00j), (3.2654e-01+0.0000e+00j), (2.0485e-01+0.0000e+00j), (1.2398e-01+0.0000e+00j), (9.8924e-06+7.9884e-05j)
 (1.0526e+01+0.0000e+00j), (3.4606e-01+0.0000e+00j), (3.2514e-01+0.0000e+00j), (2.0433e-01+0.0000e+00j), (1.2448e-01+0.0000e+00j), (1.4933e-05+1.5613e-04j)
 (1.5789e+01+0.0000e+00j), (3.4824e-01+0.0000e+00j), (3.2299e-01+0.0000e+00j), (2.0352e-01+0.0000e+00j), (1.2524e-01+0.0000e+00j), (1.1119e-05+2.2565e-04j)
 (2.1053e+01+0.0000e+00j), (3.5105e-01+0.0000e+00j), (3.2025e-01+0.0000e+00j), (2.0248e-01+0.0000e+00j), (1.2622e-01+0.0000e+00j), (-4.1227e-06+2.8628e-04j)
 (2.6316e+01+0.0000e+00j), (3.5431e-01+0.0000e+00j), (3.1709e-01+0.0000e+00j), (2.0124e-01+0.0000e+00j), (1.2737e-01+0.0000e+00j), (-3.1717e-05+3.3688e-04j)
 (3.1579e+01+0.0000e+00j), (3.5787e-01+0.0000e+00j), (3.1367e-01+0.0000e+00j), (1.9985e-01+0.0000e+00j), (1.2862e-01+0.0000e+00j), (-7.1099e-05+3.7729e-04j)
 (3.6842e+01+0.0000e+00j), (3.6157e-01+0.0000e+00j), (3.1016e-01+0.0000e+00j), (1.9835e-01+0.0000e+00j), (1.2992e-01+0.0000e+00j), (-1.2061e-04+4.0817e-04j)
 (4.2105e+01+0.0000e+00j), (3.6530e-01+0.0000e+00j), (3.0667e-01+0.0000e+00j), (1.9679e-01+0.0000e+00j), (1.3124e-01+0.0000e+00j), (-1.7795e-04+4.3064e-04j)
 (4.7368e+01+0.0000e+00j), (3.6896e-01+0.0000e+00j), (3.0329e-01+0.0000e+00j), (1.9521e-01+0.0000e+00j), (1.3254e-01+0.0000e+00j), (-2.4066e-04+4.4611e-04j)
 (5.2632e+01+0.0000e+00j), (3.7248e-01+0.0000e+00j), (3.0009e-01+0.0000e+00j), (1.9363e-01+0.0000e+00j), (1.3380e-01+0.0000e+00j), (-3.0641e-04+4.5601e-04j)
 (5.7895e+01+0.0000e+00j), (3.7582e-01+0.0000e+00j), (2.9709e-01+0.0000e+00j), (1.9209e-01+0.0000e+00j), (1.3500e-01+0.0000e+00j), (-3.7317e-04+4.6168e-04j)
 (6.3158e+01+0.0000e+00j), (3.7895e-01+0.0000e+00j), (2.9431e-01+0.0000e+00j), (1.9060e-01+0.0000e+00j), (1.3614e-01+0.0000e+00j), (-4.3935e-04+4.6429e-04j)
 (6.8421e+01+0.0000e+00j), (3.8185e-01+0.0000e+00j), (2.9176e-01+0.0000e+00j), (1.8919e-01+0.0000e+00j), (1.3720e-01+0.0000e+00j), (-5.0377e-04+4.6480e-04j)
 (7.3684e+01+0.0000e+00j), (3.8452e-01+0.0000e+00j), (2.8942e-01+0.0000e+00j), (1.8788e-01+0.0000e+00j), (1.3819e-01+0.0000e+00j), (-5.6564e-04+4.6396e-04j)
 (7.8947e+01+0.0000e+00j), (3.8695e-01+0.0000e+00j), (2.8727e-01+0.0000e+00j), (1.8668e-01+0.0000e+00j), (1.3910e-01+0.0000e+00j), (-6.2445e-04+4.6233e-04j)
 (8.4211e+01+0.0000e+00j), (3.8917e-01+0.0000e+00j), (2.8529e-01+0.0000e+00j), (1.8560e-01+0.0000e+00j), (1.3994e-01+0.0000e+00j), (-6.7995e-04+4.6027e-04j)
 (8.9474e+01+0.0000e+00j), (3.9116e-01+0.0000e+00j), (2.8346e-01+0.0000e+00j), (1.8466e-01+0.0000e+00j), (1.4071e-01+0.0000e+00j), (-7.3204e-04+4.5805e-04j)
 (9.4737e+01+0.0000e+00j), (3.9295e-01+0.0000e+00j), (2.8177e-01+0.0000e+00j), (1.8387e-01+0.0000e+00j), (1.4141e-01+0.0000e+00j), (-7.8073e-04+4.5580e-04j)
 (1.0000e+02+0.0000e+00j), (3.9454e-01+0.0000e+00j), (2.8018e-01+0.0000e+00j), (1.8324e-01+0.0000e+00j), (1.4205e-01+0.0000e+00j), (-8.2610e-04+4.5356e-04j)
